Date,Close
21-Jun-13,60
22-Jun-13,60
24-Jun-13,60
25-Jun-13,90
26-Jun-13,60
27-Jun-13,60
28-Jun-13,90
29-Jun-13,60
1-Jul-13,90
2-Jul-13,60
3-Jul-13,90
4-Jul-13,60
5-Jul-13,60
6-Jul-13,60
8-Jul-13,90
9-Jul-13,60
10-Jul-13,90
11-Jul-13,60
12-Jul-13,60
13-Jul-13,60
15-Jul-13,90
16-Jul-13,60
17-Jul-13,90
18-Jul-13,60
19-Jul-13,60
20-Jul-13,60
22-Jul-13,90
23-Jul-13,60
24-Jul-13,90
25-Jul-13,60
26-Jul-13,60
27-Jul-13,60
29-Jul-13,90
30-Jul-13,60
31-Jul-13,90
1-Aug-13,60
2-Aug-13,60
3-Aug-13,60
5-Aug-13,60
6-Aug-13,60
7-Aug-13,60
8-Aug-13,60
10-Aug-13,60
12-Aug-13,90
13-Aug-13,60
14-Aug-13,60
19-Aug-13,60
20-Aug-13,60
21-Aug-13,60
22-Aug-13,60
23-Aug-13,90
24-Aug-13,60
26-Aug-13,90
27-Aug-13,90
28-Aug-13,60
29-Aug-13,90
30-Aug-13,60
31-Aug-13,30
2-Sep-13,60
3-Sep-13,60
4-Sep-13,60
5-Sep-13,60
6-Sep-13,60
7-Sep-13,60
10-Sep-13,30
11-Sep-13,60
12-Sep-13,60
13-Sep-13,60
14-Sep-13,60
16-Sep-13,60
17-Sep-13,60
18-Sep-13,60
19-Sep-13,60
20-Sep-13,60
21-Sep-13,60
23-Sep-13,60
24-Sep-13,60
25-Sep-13,30
27-Sep-13,60
28-Sep-13,60
30-Sep-13,60
1-Oct-13,60
3-Oct-13,60
5-Oct-13,60
21-Oct-13,60
22-Oct-13,30
23-Oct-13,30
24-Oct-13,60
25-Oct-13,60
26-Oct-13,60
28-Oct-13,60
29-Oct-13,60
30-Oct-13,30
31-Oct-13,60
5-Nov-13,30
6-Nov-13,60
7-Nov-13,60
8-Nov-13,60
9-Nov-13,60
11-Nov-13,30
12-Nov-13,60
